Art Unit,Class,Class Title,Subclass From,Subclass To
1675,514,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",11.6,12.3
1675,514,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",12.5,12.6
1675,514,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",12.8,15.9
1675,514,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",16.2,16.3
1675,514,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",17.2,
1675,514,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",18.6,18.8
1675,514,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",19.2,20.5
1675,514,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",20.7,21.1
1675,514,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",21.3,21.92
1675,514,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",5.4,5.7
1675,514,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",56,
1675,514,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",6.1,7.4
1675,530,CHEMISTRY: NATURAL RESINS OR DERIVATIVES; PEPTIDES OR PROTEINS; LIGNINS OR REACTION PRODUCTS THEREOF,300,345
1677,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,3,4
1677,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,6.19,7.21
1677,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,7.24,7.25
1677,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,7.5,7.95
1677,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,800,802
1677,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,960,975
1677,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,FOR 206,
1677,436,CHEMISTRY: ANALYTICAL AND IMMUNOLOGICAL TESTING,500,829
1711,8,BLEACHING AND DYEING; FLUID TREATMENT AND CHEMICAL MODIFICATION OF TEXTILES AND FIBERS,147,159
1711,68,TEXTILES: FLUID TREATING APPARATUS,ALL,
1711,134,CLEANING AND LIQUID CONTACT WITH SOLIDS,ALL,
1713,216,ETCHING A SUBSTRATE: PROCESSES,2,109
1713,252,COMPOSITIONS,79.1,79.5
1713,438,SEMICONDUCTOR DEVICE MANUFACTURING: PROCESS,689,698
1713,438,SEMICONDUCTOR DEVICE MANUFACTURING: PROCESS,704,757
1713,438,SEMICONDUCTOR DEVICE MANUFACTURING: PROCESS,9,
1714,117,"SINGLE-CRYSTAL, ORIENTED-CRYSTAL, AND EPITAXY GROWTH PROCESSES; NON-COATING APPARATUS THEREFOR",1,958
1715,427,COATING PROCESSES,1,213
1715,427,COATING PROCESSES,214,FOR 110
1716,118,COATING APPARATUS,715,900
1716,118,COATING APPARATUS,FOR 000,
1716,156,ADHESIVE BONDING AND MISCELLANEOUS CHEMICAL MANUFACTURE,345.1,345.55
1716,156,ADHESIVE BONDING AND MISCELLANEOUS CHEMICAL MANUFACTURE,912,917
1717,118,COATING APPARATUS,13,714
1717,118,COATING APPARATUS,DIG 1,DIG 22
1721,430,"RADIATION IMAGERY CHEMISTRY: PROCESS, COMPOSITION, OR PRODUCT THEREOF",296,
1721,430,"RADIATION IMAGERY CHEMISTRY: PROCESS, COMPOSITION, OR PRODUCT THEREOF",3,7
1721,430,"RADIATION IMAGERY CHEMISTRY: PROCESS, COMPOSITION, OR PRODUCT THEREOF",320,321
1721,430,"RADIATION IMAGERY CHEMISTRY: PROCESS, COMPOSITION, OR PRODUCT THEREOF",9,137.22
1721,430,"RADIATION IMAGERY CHEMISTRY: PROCESS, COMPOSITION, OR PRODUCT THEREOF",900,904
1721,430,"RADIATION IMAGERY CHEMISTRY: PROCESS, COMPOSITION, OR PRODUCT THEREOF",942,
1721,430,"RADIATION IMAGERY CHEMISTRY: PROCESS, COMPOSITION, OR PRODUCT THEREOF",965,
1721,430,"RADIATION IMAGERY CHEMISTRY: PROCESS, COMPOSITION, OR PRODUCT THEREOF",970,FOR 118
1722,252,COMPOSITIONS,299.01,299.7
1722,430,"RADIATION IMAGERY CHEMISTRY: PROCESS, COMPOSITION, OR PRODUCT THEREOF",1,2
1722,430,"RADIATION IMAGERY CHEMISTRY: PROCESS, COMPOSITION, OR PRODUCT THEREOF",138,295
1722,430,"RADIATION IMAGERY CHEMISTRY: PROCESS, COMPOSITION, OR PRODUCT THEREOF",297,319
1722,430,"RADIATION IMAGERY CHEMISTRY: PROCESS, COMPOSITION, OR PRODUCT THEREOF",322,644
1722,430,"RADIATION IMAGERY CHEMISTRY: PROCESS, COMPOSITION, OR PRODUCT THEREOF",8,
1722,430,"RADIATION IMAGERY CHEMISTRY: PROCESS, COMPOSITION, OR PRODUCT THEREOF",905,941
1722,430,"RADIATION IMAGERY CHEMISTRY: PROCESS, COMPOSITION, OR PRODUCT THEREOF",943,964
1722,430,"RADIATION IMAGERY CHEMISTRY: PROCESS, COMPOSITION, OR PRODUCT THEREOF",966,967
1725,48,GAS: HEATING AND ILLUMINATING,ALL,
1726,29,METAL WORKING,2,
1726,29,METAL WORKING,623.1,623.5
1726,29,METAL WORKING,730,731
1726,429,"CHEMISTRY: ELECTRICAL CURRENT PRODUCING APPARATUS, PRODUCT, AND PROCESS",ALL,
1731,51,"ABRASOVE TOOL MAKING PROCESS, MATERIAL, OR COMPOSITION",ALL,
1731,106,COMPOSITIONS: COATING OR PLASTIC,2,18.36
1731,106,COMPOSITIONS: COATING OR PLASTIC,273.1,284.4
1731,106,COMPOSITIONS: COATING OR PLASTIC,310,DIG 7
1731,106,COMPOSITIONS: COATING OR PLASTIC,32.5,34
1731,106,COMPOSITIONS: COATING OR PLASTIC,36,38.9
1731,252,COMPOSITIONS,378 P,378 R
1731,252,COMPOSITIONS,70,
1731,252,COMPOSITIONS,8.57,8.91
1731,252,COMPOSITIONS,950,951
1731,501,COMPOSITIONS: CERAMIC,ALL,
1732,106,COMPOSITIONS: COATING OR PLASTIC,122,272
1732,106,COMPOSITIONS: COATING OR PLASTIC,285,287.35
1732,106,COMPOSITIONS: COATING OR PLASTIC,FOR 000,FOR 197
1732,127,"SUGAR, STARCH, AND CARBOHYDRATES",29,71
1732,423,CHEMISTRY OF INORGANIC COMPOUNDS,700,718
1732,502,"CATALYST, SOLID SORBENT, OR SUPPORT THEREFOR: PRODUCT OR PROCESS OF MAKING",100,231
1733,75,"SPECIALIZED METALLURGICAL PROCESSES, COMPOSITIONS FOR USE THEREIN, CONSOLIDATED METAL POWDER COMPOSITIONS, AND LOOSE METAL PARTICULATE MIXTURES",ALL,
1733,148,METAL TREATMENT,22,33.6
1733,148,METAL TREATMENT,99,DIG 174
1733,222,DISPENSING,590,607
1733,222,DISPENSING,629,
1733,266,METALLURGICAL APPARATUS,ALL,
1733,419,POWDER MATALLURGY PROCESSES,ALL,
1733,420,ALLOYS OR METALLIC COMPOSITIONS,ALL,
1734,106,COMPOSITIONS: COATING OR PLASTIC,1.05,1.29
1734,106,COMPOSITIONS: COATING OR PLASTIC,31.01,31.97
1734,106,COMPOSITIONS: COATING OR PLASTIC,35,
1734,252,COMPOSITIONS,301.16,301.6 S
1734,252,COMPOSITIONS,60,62.9P Z
1735,149,EXPLOSIVE AND THERMIC COMPOSITIONS OR CHARGES,ALL,
1735,164,METAL FOUNDING,ALL,
1735,228,METAL FUSION BONDING,ALL,
1736,23,CHEMISTRY: PHYSICAL PROCESSES,ALL,
1736,71,CHEMISTRY: FERTILIZERS,ALL,
1736,148,METAL TREATMENT,95,98
1736,252,COMPOSITIONS,372,377
1736,423,CHEMISTRY OF INORGANIC COMPOUNDS,1,659
1736,423,CHEMISTRY OF INORGANIC COMPOUNDS,DIG 1,FOR 102
1736,502,"CATALYST, SOLID SOBENT, OR SUPPORT THEREFOR: PRODUCT OR PROCESS OF MAKING",1,87
1736,502,"CATALYST, SOLID SOBENT, OR SUPPORT THEREFOR: PRODUCT OR PROCESS OF MAKING",232,FOR 000
1736,505,"SUPERCONDUCTOR TECHNOLOGY: APPARATUS, MATERIAL, PROCESS",ALL,
1736,588,HAZARDOUS OR TOXIC WASTE DESTRUCTION OR CONTAINMENT,1,20
1736,588,HAZARDOUS OR TOXIC WASTE DESTRUCTION OR CONTAINMENT,261,FOR 000
1741,65,GLASS MANUFACTURING,ALL,
1741,162,PAPER MAKING AND FIBER LIBERATION,ALL,
1742,264,PLASTIC AND NONMETALLIC ARTICLE SHAPING OR TREATING: PROCESSES,.5,4
1742,264,PLASTIC AND NONMETALLIC ARTICLE SHAPING OR TREATING: PROCESSES,5,FOR 102
1743,425,PLASTIC ARTICLE OR EARTHENWARE SHAPING OR TREATING: APPARATUS,ALL,
1744,249,STATIC MOLDS,197,206
1744,249,STATIC MOLDS,52,187.1
1744,249,STATIC MOLDS,DIG 1,DIG 5
1745,156,ADHESIVE BONDING AND MISCELLANEOUS CHEMICAL MANUFACTURE,346,393
1745,156,ADHESIVE BONDING AND MISCELLANEOUS CHEMICAL MANUFACTURE,423,767
1745,156,ADHESIVE BONDING AND MISCELLANEOUS CHEMICAL MANUFACTURE,918,DIG 51
1745,156,ADHESIVE BONDING AND MISCELLANEOUS CHEMICAL MANUFACTURE,FOR 100,FOR 101
1746,156,ADHESIVE BONDING AND MISCELLANEOUS CHEMICAL MANUFACTURE,1,109
1746,156,ADHESIVE BONDING AND MISCELLANEOUS CHEMICAL MANUFACTURE,137,338
1746,156,ADHESIVE BONDING AND MISCELLANEOUS CHEMICAL MANUFACTURE,908,
1747,131,TOBACCO,ALL,
1747,152,RESILIENT TIRES AND WHEELS,151,169
1747,152,RESILIENT TIRES AND WHEELS,192,212
1747,152,RESILIENT TIRES AND WHEELS,300,322
1747,152,RESILIENT TIRES AND WHEELS,331.1,373
1747,152,RESILIENT TIRES AND WHEELS,450,DIG 6
1747,152,RESILIENT TIRES AND WHEELS,DIG12,
1747,152,RESILIENT TIRES AND WHEELS,DIG 14,DIG 16
1747,152,RESILIENT TIRES AND WHEELS,DIG 18,DIG 19
1747,156,ADHESIVE BONDING AND MISCELLANEOUS CHEMICAL MANUFACTURE,110.1,136
1747,156,ADHESIVE BONDING AND MISCELLANEOUS CHEMICAL MANUFACTURE,394.1,422
1747,156,ADHESIVE BONDING AND MISCELLANEOUS CHEMICAL MANUFACTURE,906,907
1747,156,ADHESIVE BONDING AND MISCELLANEOUS CHEMICAL MANUFACTURE,909,910
1756,204,CHEMISTRY: ELECTRICAL AND WAVE ENERGY,ALL,
1756,205,"ELECTROLYSIS: PROCESSES, COMPOSITIONS USED THEREIN, AND METHODS OF PREPARING THE COMPOSITIONS",ALL,
1757,136,BATTERIES: THERMOELECTRIC AND PHOTOELECTRIC,ALL,
1759,422,"CHEMICAL APPARATUS AND PROCESS DISINFECTING, DEORDORIZING, PRESERVING, OR STERILIZING",186,186.3
1761,8,BLEACHING AND DYEING; FLUID TREATMENT AND CHEMICAL MODIFICATION OF TEXTILES AND FIBERS,115.54,133
1761,8,BLEACHING AND DYEING; FLUID TREATMENT AND CHEMICAL MODIFICATION OF TEXTILES AND FIBERS,404,
1761,8,BLEACHING AND DYEING; FLUID TREATMENT AND CHEMICAL MODIFICATION OF TEXTILES AND FIBERS,436,939
1761,252,COMPOSITIONS,1,8.05
1761,252,COMPOSITIONS,363.5,367.1
1761,252,COMPOSITIONS,380,407
1761,252,COMPOSITIONS,478,700
1761,252,COMPOSITIONS,67,69
1761,252,COMPOSITIONS,71,79
1761,252,COMPOSITIONS,88.1,194
1761,252,COMPOSITIONS,960,FOR 254
1761,510,"CLEANING COMPOSITIONS FOR SOLID SURFACES, AUXILIARY COMPOSITIONS THEREFOR, OR PROCESSES OF PREPARING THE COMPOSITIONS",100,156
1761,510,"CLEANING COMPOSITIONS FOR SOLID SURFACES, AUXILIARY COMPOSITIONS THEREFOR, OR PROCESSES OF PREPARING THE COMPOSITIONS",174,213
1761,510,"CLEANING COMPOSITIONS FOR SOLID SURFACES, AUXILIARY COMPOSITIONS THEREFOR, OR PROCESSES OF PREPARING THE COMPOSITIONS",220,225
1761,510,"CLEANING COMPOSITIONS FOR SOLID SURFACES, AUXILIARY COMPOSITIONS THEREFOR, OR PROCESSES OF PREPARING THE COMPOSITIONS",227,277
1761,510,"CLEANING COMPOSITIONS FOR SOLID SURFACES, AUXILIARY COMPOSITIONS THEREFOR, OR PROCESSES OF PREPARING THE COMPOSITIONS",281,293
1761,510,"CLEANING COMPOSITIONS FOR SOLID SURFACES, AUXILIARY COMPOSITIONS THEREFOR, OR PROCESSES OF PREPARING THE COMPOSITIONS",295,297
1761,510,"CLEANING COMPOSITIONS FOR SOLID SURFACES, AUXILIARY COMPOSITIONS THEREFOR, OR PROCESSES OF PREPARING THE COMPOSITIONS",299,
1761,510,"CLEANING COMPOSITIONS FOR SOLID SURFACES, AUXILIARY COMPOSITIONS THEREFOR, OR PROCESSES OF PREPARING THE COMPOSITIONS",301,304
1761,510,"CLEANING COMPOSITIONS FOR SOLID SURFACES, AUXILIARY COMPOSITIONS THEREFOR, OR PROCESSES OF PREPARING THE COMPOSITIONS",307,318
1761,510,"CLEANING COMPOSITIONS FOR SOLID SURFACES, AUXILIARY COMPOSITIONS THEREFOR, OR PROCESSES OF PREPARING THE COMPOSITIONS",324,341
1761,510,"CLEANING COMPOSITIONS FOR SOLID SURFACES, AUXILIARY COMPOSITIONS THEREFOR, OR PROCESSES OF PREPARING THE COMPOSITIONS",343,391
1761,510,"CLEANING COMPOSITIONS FOR SOLID SURFACES, AUXILIARY COMPOSITIONS THEREFOR, OR PROCESSES OF PREPARING THE COMPOSITIONS",394,
1761,510,"CLEANING COMPOSITIONS FOR SOLID SURFACES, AUXILIARY COMPOSITIONS THEREFOR, OR PROCESSES OF PREPARING THE COMPOSITIONS",398,404
1761,510,"CLEANING COMPOSITIONS FOR SOLID SURFACES, AUXILIARY COMPOSITIONS THEREFOR, OR PROCESSES OF PREPARING THE COMPOSITIONS",406,434
1761,510,"CLEANING COMPOSITIONS FOR SOLID SURFACES, AUXILIARY COMPOSITIONS THEREFOR, OR PROCESSES OF PREPARING THE COMPOSITIONS",437,466
1761,510,"CLEANING COMPOSITIONS FOR SOLID SURFACES, AUXILIARY COMPOSITIONS THEREFOR, OR PROCESSES OF PREPARING THE COMPOSITIONS",468,513
1761,510,"CLEANING COMPOSITIONS FOR SOLID SURFACES, AUXILIARY COMPOSITIONS THEREFOR, OR PROCESSES OF PREPARING THE COMPOSITIONS",515,528
1761,510,"CLEANING COMPOSITIONS FOR SOLID SURFACES, AUXILIARY COMPOSITIONS THEREFOR, OR PROCESSES OF PREPARING THE COMPOSITIONS",536,FOR 240
1761,523,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,462,468
1762,260,CHEMISTRY OF CARBON COMPOUNDS,998.11,FOR 000
1762,516,"COLLOID SYSTEMS AND WETTING AGENTS; SUBCOMBINATIONS THEREOF; PROCESSES OF MAKING, STABILIZING, BREAKING, OR INHIBITING",ALL,
1762,521,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,25,39
1762,523,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,123,
1762,523,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,160,177
1762,523,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,180,181
1762,523,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,218,375
1762,524,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,1,587
1762,524,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,700,729
1762,524,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,732,836
1762,524,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,839,857
1762,524,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,868,929
1762,525,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,149,164
1762,525,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,185,190
1762,525,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,319,324
1762,525,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,50,62
1762,525,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,65,
1762,525,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,92 H,
1762,526,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,280,FOR 000
1762,526,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,59,278
1763,512,PERFUME COMPOSITIONS,1,27
1763,524,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,589,591
1763,524,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,FOR 000,
1764,8,BLEACHING AND DYEING; FLUID TREATMENT AND CHEMICAL MODIFICATION OF TEXTILES AND FIBERS,137,142
1764,8,BLEACHING AND DYEING; FLUID TREATMENT AND CHEMICAL MODIFICATION OF TEXTILES AND FIBERS,160,403
1764,8,BLEACHING AND DYEING; FLUID TREATMENT AND CHEMICAL MODIFICATION OF TEXTILES AND FIBERS,405,435
1764,8,BLEACHING AND DYEING; FLUID TREATMENT AND CHEMICAL MODIFICATION OF TEXTILES AND FIBERS,94.1 D,115.53
1764,8,BLEACHING AND DYEING; FLUID TREATMENT AND CHEMICAL MODIFICATION OF TEXTILES AND FIBERS,DIG 1,FOR 000
1764,510,"CLEANING COMPOSITIONS FOR SOLID SURFACES, AUXILIARY COMPOSITIONS THEREFOR, OR PROCESSES OF PREPARING THE COMPOSITIONS",226,
1764,510,"CLEANING COMPOSITIONS FOR SOLID SURFACES, AUXILIARY COMPOSITIONS THEREFOR, OR PROCESSES OF PREPARING THE COMPOSITIONS",320,321
1764,510,"CLEANING COMPOSITIONS FOR SOLID SURFACES, AUXILIARY COMPOSITIONS THEREFOR, OR PROCESSES OF PREPARING THE COMPOSITIONS",342,
1764,510,"CLEANING COMPOSITIONS FOR SOLID SURFACES, AUXILIARY COMPOSITIONS THEREFOR, OR PROCESSES OF PREPARING THE COMPOSITIONS",392,393
1764,510,"CLEANING COMPOSITIONS FOR SOLID SURFACES, AUXILIARY COMPOSITIONS THEREFOR, OR PROCESSES OF PREPARING THE COMPOSITIONS",405,
1764,523,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,200,211
1764,523,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,215,217
1764,524,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,592,598
1764,525,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,242,318
1765,264,PLASTIC AND NONMETALLIC ARTICLE SHAPING OR TREATING: PROCESSES,4.1,4.7
1765,427,COATING PROCESSES,213.3,213.36
1765,428,STOCK MATERIAL OR MISCELLANEOUS ARTICLES,402.2,402.24
1765,507,"EARTH BORING, WELL TREATING, AND OIL FIELD CHEMISTRY",ALL,
1765,520,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,ALL,
1765,521,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,40,918
1765,522,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,ALL,
1765,523,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,212,214
1765,524,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,588,
1765,525,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,146,148
1765,525,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,178,184
1765,525,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,191,241
1765,525,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,396,
1765,525,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,419,436
1765,525,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,438,
1765,525,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,446,
1765,525,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,461,470
1765,525,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,481,486
1765,525,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,523,533
1765,525,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,63,64
1765,525,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,66,92 G
1765,525,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,92 J,122
1765,526,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,279,
1765,527,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,ALL,
1765,528,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,10,124
1765,528,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,176,270
1765,528,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,310,372
1765,528,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,392,402
1765,528,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,480,FOR 000
1766,525,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,123,145
1766,525,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,165,177
1766,525,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,326.1,395
1766,525,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,397,418
1766,525,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,437,
1766,525,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,439,445
1766,525,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,447,460
1766,525,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,471,480
1766,525,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,487,522
1766,525,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,534,FOR 000
1766,525,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,7,49
1766,528,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,373,391
1766,528,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,403,425
1767,510,"CLEANING COMPOSITIONS FOR SOLID SURFACES, AUXILIARY COMPOSITIONS THEREFOR, OR PROCESSES OF PREPARING THE COMPOSITIONS",157,173
1767,510,"CLEANING COMPOSITIONS FOR SOLID SURFACES, AUXILIARY COMPOSITIONS THEREFOR, OR PROCESSES OF PREPARING THE COMPOSITIONS",214,219
1767,510,"CLEANING COMPOSITIONS FOR SOLID SURFACES, AUXILIARY COMPOSITIONS THEREFOR, OR PROCESSES OF PREPARING THE COMPOSITIONS",278,280
1767,510,"CLEANING COMPOSITIONS FOR SOLID SURFACES, AUXILIARY COMPOSITIONS THEREFOR, OR PROCESSES OF PREPARING THE COMPOSITIONS",294,
1767,510,"CLEANING COMPOSITIONS FOR SOLID SURFACES, AUXILIARY COMPOSITIONS THEREFOR, OR PROCESSES OF PREPARING THE COMPOSITIONS",298,
1767,510,"CLEANING COMPOSITIONS FOR SOLID SURFACES, AUXILIARY COMPOSITIONS THEREFOR, OR PROCESSES OF PREPARING THE COMPOSITIONS",300,
1767,510,"CLEANING COMPOSITIONS FOR SOLID SURFACES, AUXILIARY COMPOSITIONS THEREFOR, OR PROCESSES OF PREPARING THE COMPOSITIONS",305,306
1767,510,"CLEANING COMPOSITIONS FOR SOLID SURFACES, AUXILIARY COMPOSITIONS THEREFOR, OR PROCESSES OF PREPARING THE COMPOSITIONS",319,
1767,510,"CLEANING COMPOSITIONS FOR SOLID SURFACES, AUXILIARY COMPOSITIONS THEREFOR, OR PROCESSES OF PREPARING THE COMPOSITIONS",322,323
1767,510,"CLEANING COMPOSITIONS FOR SOLID SURFACES, AUXILIARY COMPOSITIONS THEREFOR, OR PROCESSES OF PREPARING THE COMPOSITIONS",395,397
1767,510,"CLEANING COMPOSITIONS FOR SOLID SURFACES, AUXILIARY COMPOSITIONS THEREFOR, OR PROCESSES OF PREPARING THE COMPOSITIONS",435,436
1767,510,"CLEANING COMPOSITIONS FOR SOLID SURFACES, AUXILIARY COMPOSITIONS THEREFOR, OR PROCESSES OF PREPARING THE COMPOSITIONS",467,
1767,510,"CLEANING COMPOSITIONS FOR SOLID SURFACES, AUXILIARY COMPOSITIONS THEREFOR, OR PROCESSES OF PREPARING THE COMPOSITIONS",514,
1767,510,"CLEANING COMPOSITIONS FOR SOLID SURFACES, AUXILIARY COMPOSITIONS THEREFOR, OR PROCESSES OF PREPARING THE COMPOSITIONS",529,535
1767,523,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,1,122
1767,523,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,124,159
1767,523,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,179,
1767,523,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,400,461
1767,523,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,500,527
1767,524,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,599,650
1767,524,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,730,731
1767,524,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,837,838
1767,524,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,858,866
1767,528,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,1,9
1767,528,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,125,175
1767,528,SYNTHETIC RESINS OR NATURAL RUBBERS -- PART OF THE CLASS 520 SERIES,271,309.1
1767,530,CHEMISTRY: NATURAL RESINS OR DERIVATIVES; PEPTIDES OR PROTEINS; LIGNINS OR REACTION PRODUCTS THEREOF,200,233
