Art Unit,Class,Class Title,Subclass From,Subclass To
1636,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,FOR 100,FOR 113
1636,514,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",44 R,
1637,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,6.12,
1639,506,"COMBINATORIAL CHEMISTRY TECHNOLOGY: METHOD, LIBRARY, APPARATUS",1,32
1639,506,"COMBINATORIAL CHEMISTRY TECHNOLOGY: METHOD, LIBRARY, APPARATUS",41,43
1641,930,PEPTIDE OR PROTEIN SEQUENCE,FOR 000,
1642,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",137.1,138.1
1642,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",155.1,156.1
1642,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",278.1,280.1
1642,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",800,801
1642,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",806,809
1642,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,330,
1642,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,344,344.1
1642,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,449,454
1642,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,459,462
1642,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,464,467
1642,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,471,490
1642,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,7.23,
1642,514,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",22,
1642,530,CHEMISTRY: NATURAL RESINS OR DERIVATIVES; PEPTIDES OR PROTEINS; LIGNINS OR REACTION PRODUCTS THEREOF,389.7,
1642,530,CHEMISTRY: NATURAL RESINS OR DERIVATIVES; PEPTIDES OR PROTEINS; LIGNINS OR REACTION PRODUCTS THEREOF,860,868
1643,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",131.1,136.1
1643,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",174.1,
1643,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",277.1,
1643,530,CHEMISTRY: NATURAL RESINS OR DERIVATIVES; PEPTIDES OR PROTEINS; LIGNINS OR REACTION PRODUCTS THEREOF,387.3,
1643,530,CHEMISTRY: NATURAL RESINS OR DERIVATIVES; PEPTIDES OR PROTEINS; LIGNINS OR REACTION PRODUCTS THEREOF,387.7,
1643,530,CHEMISTRY: NATURAL RESINS OR DERIVATIVES; PEPTIDES OR PROTEINS; LIGNINS OR REACTION PRODUCTS THEREOF,388.8,388.85
1643,530,CHEMISTRY: NATURAL RESINS OR DERIVATIVES; PEPTIDES OR PROTEINS; LIGNINS OR REACTION PRODUCTS THEREOF,391.7,
1644,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",139.1,143.1
1644,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",152.1,154.1
1644,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",171.1,173.1
1644,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",175.1,
1644,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",275.1,276.1
1644,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",804,805
1644,424,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",811,
1644,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,327,329
1644,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,331,
1644,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,343,343.2
1644,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,345,
1644,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,FOR 123,FOR 205
1644,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,FOR 207,FOR 236
1644,514,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",19.1,
1644,514,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",9.3,
1644,530,CHEMISTRY: NATURAL RESINS OR DERIVATIVES; PEPTIDES OR PROTEINS; LIGNINS OR REACTION PRODUCTS THEREOF,386,387.2
1644,530,CHEMISTRY: NATURAL RESINS OR DERIVATIVES; PEPTIDES OR PROTEINS; LIGNINS OR REACTION PRODUCTS THEREOF,387.5,
1644,530,CHEMISTRY: NATURAL RESINS OR DERIVATIVES; PEPTIDES OR PROTEINS; LIGNINS OR REACTION PRODUCTS THEREOF,387.9,388.35
1644,530,CHEMISTRY: NATURAL RESINS OR DERIVATIVES; PEPTIDES OR PROTEINS; LIGNINS OR REACTION PRODUCTS THEREOF,388.5,
1644,530,CHEMISTRY: NATURAL RESINS OR DERIVATIVES; PEPTIDES OR PROTEINS; LIGNINS OR REACTION PRODUCTS THEREOF,388.7,388.75
1644,530,CHEMISTRY: NATURAL RESINS OR DERIVATIVES; PEPTIDES OR PROTEINS; LIGNINS OR REACTION PRODUCTS THEREOF,388.9,389.3
