Application No,Appeal No,Interference No,Publication No,Publication Date,Patent No,Issue Date,Decision Date,Inventor,Case No
11152914,2009004666,NONE,20060099866A1,20060511,NONE,-1,20090728,Ex Parte Leonard et al,NONE
10226899,2009002889,NONE,20030004809A1,20030102,NONE,-1,20090728,Ex Parte Palcic et al,NONE
10248785,2009004747,NONE,20100268922A1,20101021,NONE,-1,20090728,Ex Parte Daffron,NONE
10248785,2009004747,NONE,20100268922A1,20101021,NONE,-1,20090728,Ex Parte Daffron,NONE
10289130,2009005754,NONE,20040098335A1,20040520,NONE,-1,20090728,Ex Parte Michelsen et al,NONE
10421570,2008001400,NONE,20040213984A1,20041028,NONE,-1,20090728,Ex Parte Avis,NONE
10417344,2009000289,NONE,20040209074A1,20041021,NONE,-1,20090728,Ex Parte Randall et al,NONE
10750479,2009007456,NONE,20040172002A1,20040902,NONE,-1,20090728,Ex Parte Nelson et al,NONE
09782835,2009000500,NONE,20010024713A1,20010927,NONE,-1,20090728,Ex Parte Quintens et al,NONE
09792371,2008004841,NONE,20020120777A1,20020829,NONE,-1,20090728,Ex Parte Burns et al,NONE
09821079,2009001308,NONE,20020144108A1,20021003,NONE,-1,20090728,Ex Parte Benantar,NONE
09841486,2008001008,NONE,20020028320A1,20020307,,-1,20090728,Ex Parte Iwasa et al,NONE
09841486,2008001008,NONE,20020028320A1,20020307,NONE,-1,20090728,Ex Parte Iwasa et al,NONE
09881041,2009003953,NONE,20020072933A1,20020613,NONE,-1,20090728,Ex Parte Vonk et al,NONE
10762155,2008003622,NONE,20040152007A1,20040805,NONE,-1,20090727,Ex Parte Combes et al,NONE
10829829,2008005104,NONE,20050240386A1,20051027,NONE,-1,20090727,Ex Parte Carballo et al,NONE
10443371,2008003383,NONE,20040250125A1,20041209,NONE,-1,20090727,Ex Parte Janson et al,NONE
09193605,2009000396,NONE,NONE,-1,7685509,20100323,20090727,Ex Parte CLARK et al,NONE
10361774,2008004459,NONE,20040158443A1,20040812,NONE,-1,20090727,Ex Parte Rajanarayanan,NONE
09732189,2008005207,NONE,20020073153A1,20020613,NONE,-1,20090727,Ex Parte Miller,NONE
10190342,2009003463,NONE,20040005876A1,20040108,NONE,-1,20090727,Ex Parte Tuoriniemi,NONE
10222346,2008004583,NONE,20030218628A1,20031127,NONE,-1,20090727,Ex Parte Deshpande et al,NONE
90008413,2009007166,NONE,NONE,-1,NONE,-1,20090727,"Ex Parte 6,666,821 et al",NONE
09750255,2007003855,NONE,20020091922A1,20020711,NONE,-1,20090727,Ex Parte Shrader et al,NONE
11074916,2009004898,NONE,20050256481A1,20051117,NONE,-1,20090727,Ex Parte Rosati et al,NONE
