Application No,Appeal No,Interference No,Publication No,Publication Date,Patent No,Issue Date,Decision Date,Inventor,Case No
10685270,2006002172,NONE,20050078911A1,20050414,NONE,-1,20070201,Ex Parte Mikes et al,NONE
10710187,2006002680,NONE,20040220335A1,20041104,NONE,-1,20070131,Ex Parte Damman et al,NONE
10102077,2006002731,NONE,20020192180A1,20021219,NONE,-1,20070131,Ex Parte Fairley et al,NONE
10789411,2006002534,NONE,20040195930A1,20041007,NONE,-1,20070131,Ex Parte Fichtner et al,NONE
10758552,2006002735,NONE,20040147394A1,20040729,NONE,-1,20070131,Ex Parte Wagner et al,NONE
10758565,2007000298,NONE,20070087210A1,20070419,NONE,-1,20070131,Ex Parte Sahoo et al,NONE
10750810,2006002655,NONE,20040171657A1,20040902,NONE,-1,20070131,Ex Parte Holzl et al,NONE
10869805,2006003339,NONE,20050077066A1,20050414,NONE,-1,20070131,Ex Parte Stipes,NONE
10938966,2007000204,NONE,20050033158A1,20050210,NONE,-1,20070131,Ex Parte Vu,NONE
10924119,2007000093,NONE,20050027145A1,20050203,NONE,-1,20070131,Ex Parte Hofmann et al,NONE
11050001,2007000360,NONE,20050197269A1,20050908,NONE,-1,20070131,Ex Parte Graydon et al,NONE
10121148,2007000187,NONE,20030027334A1,20030206,NONE,-1,20070131,Ex Parte Fitzpatrick et al,NONE
10116774,2006002033,NONE,20030025693A1,20030206,NONE,-1,20070131,Ex Parte Haley,NONE
10169618,2006002369,NONE,20030125482A1,20030703,NONE,-1,20070131,Ex Parte Stevens et al,NONE
10165083,2006003121,NONE,20030229858A1,20031211,NONE,-1,20070131,Ex Parte Keohane et al,NONE
10196428,2006003200,NONE,20030195167A1,20031016,NONE,-1,20070131,Ex Parte Morikawa et al,NONE
10268040,2006003400,NONE,20040068437A1,20040408,NONE,-1,20070131,Ex Parte McGee et al,NONE
10250412,2006002413,NONE,20040060481A1,20040401,NONE,-1,20070131,Ex Parte Schlenoff,NONE
10252177,2006002962,NONE,20030020263A1,20030130,NONE,-1,20070131,Ex Parte Preisler,NONE
10271956,2006002798,NONE,NONE,-1,7244937,20070717,20070131,Ex Parte Gabura et al,NONE
10314157,2007000655,NONE,20040110046A1,20040610,NONE,-1,20070131,Ex Parte Pan et al,NONE
10320947,2007000415,NONE,20040016488A1,20040129,NONE,-1,20070131,Ex Parte Benedict et al,NONE
10346099,2006002677,NONE,20040142177A1,20040722,NONE,-1,20070131,Ex Parte Verborgt et al,NONE
10341038,2006001684,NONE,20040138597A1,20040715,NONE,-1,20070131,Ex Parte Varn,NONE
10384044,2006003260,NONE,20030171439A1,20030911,NONE,-1,20070131,Ex Parte Lawyer et al,NONE
10601856,2007000179,NONE,20040185015A1,20040923,NONE,-1,20070131,Ex Parte Zhang et al,NONE
10642413,2006002187,NONE,20040053533A1,20040318,NONE,-1,20070131,Ex Parte Huang,NONE
09600879,2006001034,NONE,NONE,-1,7232284,20070619,20070131,Ex Parte Schmutz et al,NONE
09709705,2006002091,NONE,NONE,-1,7249179,20070724,20070131,Ex Parte Romero et al,NONE
09791051,2006002717,NONE,NONE,-1,7340866,20080310,20070131,Ex Parte Smith,NONE
09785385,2006002763,NONE,20010052008A1,20011213,NONE,-1,20070131,Ex Parte Jacobus,NONE
09766696,2006000985,NONE,20010046916A1,20011129,NONE,-1,20070131,Ex Parte Fujii,NONE
09810225,2007000129,NONE,20010054869A1,20011227,NONE,-1,20070131,Ex Parte Ono et al,NONE
09808878,2006003012,NONE,20010034340A1,20011025,NONE,-1,20070131,Ex Parte Pickar,NONE
09853391,2006002158,NONE,20030026872A1,20030206,NONE,-1,20070131,Ex Parte Dake et al,NONE
09842373,2006002652,NONE,20020001693A1,20020103,NONE,-1,20070131,Ex Parte Mokveld et al,NONE
09861153,2006003062,NONE,20020174148A1,20021121,NONE,-1,20070131,Ex Parte Seidman,NONE
09915494,2006002699,NONE,20030022392A1,20030130,NONE,-1,20070131,Ex Parte Hudak,NONE
