Application No,Appeal No,Interference No,Publication No,Publication Date,Patent No,Issue Date,Decision Date,Inventor,Case No
09838239,2009001387,NONE,20020156883A1,20021024,NONE,-1,20091222,Ex Parte Natarajan et al,NONE
09839803,2009010185,NONE,20030087178A1,20030508,NONE,-1,20091222,Ex Parte Lungu,NONE
90006492,2008004603,NONE,NONE,-1,5631946,-1,20091222,"Ex Parte NTP, Inc. et al",NONE
10804381,2008003856,NONE,20040175343A1,20040909,NONE,-1,20091221,Ex Parte Osborne et al,NONE
11299813,2009010373,NONE,20060094899A1,20060504,NONE,-1,20091221,Ex Parte Mizuno et al,NONE
11529018,2009005875,NONE,20070022043A1,20070125,NONE,-1,20091218,Ex Parte Naylor et al,NONE
09921323,2009013241,NONE,20030032357A1,20030213,NONE,-1,20091218,Ex Parte Gillespie et al,NONE
10947586,2009006577,NONE,20050085135A1,20050421,NONE,-1,20091218,Ex Parte Pfister et al,NONE
10765123,2009010304,NONE,20040208969A1,20041021,NONE,-1,20091218,Ex Parte Holzschuh et al,NONE
10534550,2009003908,NONE,20060049725A1,20060309,NONE,-1,20091218,Ex Parte Simon,NONE
10675675,2009005751,NONE,20050071298A1,20050331,NONE,-1,20091218,Ex Parte Forman et al,NONE
10324409,2009015422,NONE,20040086880A1,20040506,,-1,20091218,Ex Parte Sampson et al,NONE
10324409,2009015422,NONE,20040086880A1,20040506,NONE,-1,20091218,Ex Parte Sampson et al,NONE
10437170,2009007866,NONE,20030203698A1,20031030,NONE,-1,20091218,Ex Parte Gillespie et al,NONE
10477221,2009001109,NONE,20040145400A1,20040729,NONE,-1,20091218,Ex Parte Mariggis,NONE
10108948,2009006814,NONE,20030187783A1,20031002,NONE,-1,20091218,Ex Parte Arthus et al,NONE
10128601,2007002278,NONE,20030198387A1,20031023,NONE,-1,20091218,Ex Parte Acharya et al,NONE
10190419,2009006290,NONE,20030206960A1,20031106,NONE,-1,20091218,Ex Parte Iversen et al,NONE
10204799,2009011806,NONE,20040132122A1,20040708,NONE,-1,20091218,Ex Parte Banerjee et al,NONE
10205921,2009009583,NONE,20030124570A1,20030703,NONE,-1,20091218,Ex Parte Von Melchner et al,NONE
10247032,2010000409,NONE,20030119757A1,20030626,,-1,20091218,Ex Parte Davis,NONE
10247032,2010000409,NONE,20030119757A1,20030626,NONE,-1,20091218,Ex Parte Davis,NONE
10871817,2009002261,NONE,20050002587A1,20050106,NONE,-1,20091218,Ex Parte Yoneyama,NONE
90006824,2009009534,NONE,NONE,-1,NONE,-1,20091217,Ex Parte 6359022 et al,NONE
09928771,2009003646,NONE,20030033519A1,20030213,NONE,-1,20091217,Ex Parte Buckman et al,NONE
11165601,2009008579,NONE,20060013890A1,20060119,NONE,-1,20091217,Ex Parte Green et al,NONE
11193693,2009001526,NONE,20050257696A1,20051124,NONE,-1,20091217,Ex Parte Walzak et al,NONE
11209298,2009005194,NONE,20060042150A1,20060302,NONE,-1,20091217,Ex Parte Roh,NONE
11750064,2009005975,NONE,20080097844A1,20080424,NONE,-1,20091217,Ex Parte HSU et al,NONE
10844176,2009003846,NONE,20050252427A1,20051117,NONE,-1,20091217,Ex Parte Hand,NONE
10869070,2009004880,NONE,20050131947A1,20050616,NONE,-1,20091217,Ex Parte Laub et al,NONE
10905568,2009007141,NONE,20050150117A1,20050714,NONE,-1,20091217,Ex Parte Walzak et al,NONE
10937315,2009001482,NONE,20060055611A1,20060316,NONE,-1,20091217,Ex Parte Karaoguz et al,NONE
10935294,2009006891,NONE,20050043459A1,20050224,NONE,-1,20091217,Ex Parte Wang et al,NONE
10947639,2009002106,NONE,20060112118A1,20060525,NONE,-1,20091217,Ex Parte Lasensky et al,NONE
10962075,2009010240,NONE,20050049301A1,20050303,NONE,-1,20091217,Ex Parte Bretler,NONE
10955576,2009006226,NONE,20050044043A1,20050224,NONE,-1,20091217,Ex Parte Gooding et al,NONE
10955831,2009003921,NONE,20060074331A1,20060406,NONE,-1,20091217,Ex Parte Kim et al,NONE
10714504,2009005382,NONE,20050108661A1,20050519,NONE,-1,20091217,Ex Parte Deeds,NONE
10721702,2009005585,NONE,20040106984A1,20040603,NONE,-1,20091217,Ex Parte Stinson,NONE
10822115,2009005678,NONE,20040205269A1,20041014,NONE,-1,20091217,Ex Parte Stolowitz,NONE
10819103,2009005671,NONE,20050039069A1,20050217,NONE,-1,20091217,Ex Parte Prahlad et al,NONE
10819103,2009005671,NONE,20050039069A1,20050217,NONE,-1,20091217,Ex Parte Prahlad et al,NONE
10486064,2009009571,NONE,20050029216A1,20050210,NONE,-1,20091217,Ex Parte Scheifele,NONE
10509106,2009002722,NONE,20050171931A1,20050804,NONE,-1,20091217,Ex Parte Baxter et al,NONE
10622790,2009000893,NONE,20040016502A1,20040129,NONE,-1,20091217,Ex Parte Jones,NONE
10295393,2009009551,NONE,20030073472A1,20030417,NONE,-1,20091217,Ex Parte Varley,NONE
10375700,2009010813,NONE,20040005546A1,20040108,NONE,-1,20091217,Ex Parte Coffey,NONE
10366494,2009013719,NONE,20040054111A1,20040318,,-1,20091217,Ex Parte Kalantar et al,NONE
10366494,2009013719,NONE,20040054111A1,20040318,NONE,-1,20091217,Ex Parte Kalantar et al,NONE
10401999,2009003166,NONE,20040193653A1,20040930,NONE,-1,20091217,Ex Parte Howard et al,NONE
10060753,2009000639,NONE,20030148217A1,20030807,NONE,-1,20091217,Ex Parte Komatsu et al,NONE
10088715,2009004783,NONE,20040039647A1,20040226,NONE,-1,20091217,Ex Parte Roche,NONE
10086014,2009004914,NONE,20030162584A1,20030828,NONE,-1,20091217,Ex Parte Hughs-Baird et al,NONE
10194576,2009005492,NONE,20030030226A1,20030213,NONE,-1,20091217,Ex Parte Durham,NONE
09668875,2008006293,NONE,NONE,-1,7886006,20110208,20091217,Ex Parte Freestone et al,NONE
09843068,2008003082,NONE,20020194217A1,20021219,NONE,-1,20091217,Ex Parte Hoffman et al,NONE
09881501,2008001371,NONE,NONE,-1,7945551,20110517,20091217,Ex Parte Alpern et al,NONE
90007619,2009009534,NONE,NONE,-1,NONE,-1,20091217,Ex Parte 6359022 et al,NONE
11069868,2009002148,NONE,20060199874A1,20060907,NONE,-1,20091216,Ex Parte Bhatt,NONE
09929398,2009000703,NONE,NONE,-1,7769619,20100803,20091216,Ex Parte Krysinski et al,NONE
11192960,2010000176,NONE,20060024827A1,20060202,NONE,-1,20091216,Ex Parte Hwang et al,NONE
11207253,2009003519,NONE,20060010073A1,20060112,NONE,-1,20091216,Ex Parte Fisher et al,NONE
11306671,2009005778,NONE,20070265854A1,20071115,NONE,-1,20091216,Ex Parte Wilbrink et al,NONE
10844637,2009004079,NONE,20050257146A1,20051117,NONE,-1,20091216,Ex Parte Ashcraft et al,NONE
10856690,2009002382,NONE,20050034686A1,20050217,NONE,-1,20091216,Ex Parte Spatt,NONE
