12073402,2012005448,NONE,20080218598A1,20080911,NONE,-1,20130227,Ex Parte Harada et al,NONE
12077530,2011008946,NONE,20090240240A1,20090924,NONE,-1,20130227,Ex Parte Hines et al,NONE
12143479,2011013500,NONE,20080280255A1,20081113,NONE,-1,20130227,Ex Parte D,NONE
12171043,2011000270,NONE,20090008820A1,20090108,NONE,-1,20130227,Ex Parte Duffield et al,NONE
12298082,2011004328,NONE,20090099547A1,20090416,NONE,-1,20130227,Ex Parte Radmer,NONE
12398938,2011011054,NONE,20090196992A1,20090806,NONE,-1,20130227,Ex Parte Schmidt et al,NONE
11793293,2011002675,NONE,20080164286A1,20080710,NONE,-1,20130227,Ex Parte Garcia et al,NONE
11818701,2011005965,NONE,20080311421A1,20081218,NONE,-1,20130227,Ex Parte Watson et al,NONE
11817459,2012000853,NONE,20090007728A1,20090108,NONE,-1,20130227,Ex Parte Akiba et al,NONE
11853249,2011009689,NONE,20090069791A1,20090312,NONE,-1,20130227,Ex Parte Connolly et al,NONE
11934327,2011010307,NONE,20090120486A1,20090514,NONE,-1,20130227,Ex Parte Buller,NONE
11932087,2010008788,NONE,20090108810A1,20090430,NONE,-1,20130227,Ex Parte SAWYERS,NONE
11957237,2011003731,NONE,20090157043A1,20090618,NONE,-1,20130227,Ex Parte Leonard et al,NONE
11977939,2010007248,NONE,20090109677A1,20090430,,-1,20130227,Ex Parte Coushaine et al,NONE
11977939,2010007248,NONE,20090109677A1,20090430,NONE,-1,20130227,Ex Parte Coushaine et al,NONE
11675383,2010011003,NONE,20070173358A1,20070726,NONE,-1,20130227,Ex Parte Gallagher,NONE
11685378,2010010342,NONE,20070260610A1,20071108,NONE,-1,20130227,Ex Parte Mindrum,NONE
11717312,2010010789,NONE,20080231230A1,20080925,NONE,-1,20130227,Ex Parte Gale et al,NONE
11708149,2011007427,NONE,20070202005A1,20070830,NONE,-1,20130227,Ex Parte Maschke,NONE
11719567,2011011008,NONE,20090149712A1,20090611,NONE,-1,20130227,Ex Parte Fischer,NONE
11735987,2011013651,NONE,20080254225A1,20081016,NONE,-1,20130227,Ex Parte Thie et al,NONE
11766813,2012000940,NONE,20080318052A1,20081225,NONE,-1,20130227,Ex Parte Brown et al,NONE
11759806,2010007689,NONE,20080062090A1,20080313,NONE,-1,20130227,Ex Parte Stewart,NONE
11780956,2010010703,NONE,20080016104A1,20080117,NONE,-1,20130227,Ex Parte Kuehr-McLaren et al,NONE
11782973,2012001038,NONE,20080011034A1,20080117,NONE,-1,20130227,Ex Parte Hochrein et al,NONE
11550205,2011000165,NONE,20080099466A1,20080501,NONE,-1,20130227,Ex Parte Cheng,NONE
11559554,2010009480,NONE,20080110635A1,20080515,NONE,-1,20130227,Ex Parte Loretz et al,NONE
11580324,NONE,NONE,US20070038488A1,20070215,7877269,20110125,20130227,LIBERTY MUTUAL INSURANCE CO. v. PROGRESSIVE CASUALTY INSURANCE CO.,CBM201300001
11574747,2011012329,NONE,20080077002A1,20080327,NONE,-1,20130227,Ex Parte Nielsen et al,NONE
11576946,2010009135,NONE,20080092643A1,20080424,NONE,-1,20130227,Ex Parte Jones,NONE
11590943,2010008331,NONE,20080104027A1,20080501,NONE,-1,20130227,Ex Parte Imler et al,NONE
11612154,2011000156,NONE,20080148155A1,20080619,NONE,-1,20130227,Ex Parte Kogan et al,NONE
11614408,2011013685,NONE,20080152895A1,20080626,NONE,-1,20130227,Ex Parte Law,NONE
11622622,2010010697,NONE,20070174256A1,20070726,NONE,-1,20130227,Ex Parte Morris et al,NONE
11444788,2010006725,NONE,20060217605A1,20060928,NONE,-1,20130227,Ex Parte Fein et al,NONE
11474618,2011000248,NONE,20070295224A1,20071227,NONE,-1,20130227,Ex Parte Glynn,NONE
11480154,2010005923,NONE,20080003530A1,20080103,NONE,-1,20130227,Ex Parte Donnelly et al,NONE
11471721,2011004475,NONE,20070113862A1,20070524,NONE,-1,20130227,Ex Parte Li et al,NONE
11491149,2011012141,NONE,20070032592A1,20070208,NONE,-1,20130227,Ex Parte Nakazono et al,NONE
11493236,2011000253,NONE,20080022591A1,20080131,NONE,-1,20130227,Ex Parte Jung,NONE
11494771,2011003749,NONE,20070029875A1,20070208,NONE,-1,20130227,Ex Parte Kurosaki et al,NONE
11519562,2010009910,NONE,20080097189A1,20080424,NONE,-1,20130227,Ex Parte Dumoulin et al,NONE
11513800,2010010603,NONE,20070106706A1,20070510,NONE,-1,20130227,Ex Parte Ahrens et al,NONE
11365297,2010009686,NONE,20060149701A1,20060706,NONE,-1,20130227,Ex Parte Putzolu,NONE
11374573,2011008296,NONE,20070213751A1,20070913,NONE,-1,20130227,Ex Parte Scirica et al,NONE
11393760,2013002801,NONE,20070235370A1,20071011,NONE,-1,20130227,Ex Parte Reale,NONE
11404913,2010007465,NONE,20060238845A1,20061026,NONE,-1,20130227,Ex Parte Atsuumi et al,NONE
11412564,2011004383,NONE,20070251869A1,20071101,NONE,-1,20130227,Ex Parte Chen,NONE
11416432,2011012139,NONE,20060260191A1,20061123,NONE,-1,20130227,Ex Parte Van Den Berg et al,NONE
11411507,2011000067,NONE,20070256007A1,20071101,NONE,-1,20130227,Ex Parte Bedingfield,NONE
11412004,2011000084,NONE,20070256008A1,20071101,NONE,-1,20130227,Ex Parte Bedingfield,NONE
11431090,2010010299,NONE,20070101932A1,20070510,,-1,20130227,Ex Parte Schowalter et al,NONE
11431090,2010010299,NONE,20070101932A1,20070510,NONE,-1,20130227,Ex Parte Schowalter et al,NONE
11440765,2010010993,NONE,20060272436A1,20061207,NONE,-1,20130227,Ex Parte Lein et al,NONE
11256411,2010009168,NONE,20070094251A1,20070426,NONE,-1,20130227,Ex Parte Lu et al,NONE
11268799,2010000936,NONE,20070112876A1,20070517,NONE,-1,20130227,Ex Parte Blaisdell et al,NONE
11151381,2010007129,NONE,20060043243A1,20060302,NONE,-1,20130226,Ex Parte Asano et al,NONE
11161797,2010005023,NONE,20070040803A1,20070222,NONE,-1,20130226,Ex Parte Didier et al,NONE
10962146,2011006500,NONE,20060079744A1,20060413,NONE,-1,20130226,Ex Parte Bonner,NONE
10982459,2010007621,NONE,20060093234A1,20060504,NONE,-1,20130226,Ex Parte Silverstein,NONE
10989990,2011000178,NONE,20060066744A1,20060330,NONE,-1,20130226,Ex Parte Stavely et al,NONE
11014498,2010011091,NONE,20060136122A1,20060622,NONE,-1,20130226,Ex Parte Fraser et al,NONE
11020158,2010004959,NONE,20060140194A1,20060629,NONE,-1,20130226,Ex Parte Monette et al,NONE
11021096,2010009127,NONE,20050283791A1,20051222,NONE,-1,20130226,Ex Parte McCarthy et al,NONE
11038665,2010009602,NONE,20050156734A1,20050721,NONE,-1,20130226,Ex Parte Zerwekh et al,NONE
11035424,2010009129,NONE,20060168526A1,20060727,NONE,-1,20130226,Ex Parte Stirbu,NONE
10818444,2010009409,NONE,20050223338A1,20051006,NONE,-1,20130226,Ex Parte Partanen,NONE
10856285,2010002720,NONE,20050276573A1,20051215,NONE,-1,20130226,Ex Parte Abbate,NONE
10884561,2011010938,NONE,20060002850A1,20060105,NONE,-1,20130226,Ex Parte Maloney et al,NONE
10889286,2011000115,NONE,20040247449A1,20041209,NONE,-1,20130226,Ex Parte Ma et al,NONE
10889908,2010007996,NONE,20060015877A1,20060119,NONE,-1,20130226,Ex Parte Kandregula et al,NONE
10890836,2011006804,NONE,20060015377A1,20060119,NONE,-1,20130226,Ex Parte Hoogs et al,NONE
10907898,2010010457,NONE,20060242577A1,20061026,NONE,-1,20130226,Ex Parte Muhanna,NONE
10659777,2010009584,NONE,20040097232A1,20040520,NONE,-1,20130226,Ex Parte Haverinen,NONE
10676488,2010008461,NONE,20050068591A1,20050331,NONE,-1,20130226,Ex Parte Dobbs,NONE
10730430,2010000318,NONE,20050122641A1,20050609,NONE,-1,20130226,Ex Parte Fullington et al,NONE
10765595,2012000764,NONE,20050166249A1,20050728,NONE,-1,20130226,Ex Parte Kettle,NONE
10757897,2010007103,NONE,20040188973A1,20040930,NONE,-1,20130226,Ex Parte Molitor,NONE
10769199,2010008702,NONE,20050171935A1,20050804,NONE,-1,20130226,Ex Parte Nowak et al,NONE
10810965,2010011011,NONE,20040180296A1,20040916,NONE,-1,20130226,Ex Parte Chen et al,NONE
10807949,2010007555,NONE,20050228849A1,20051013,NONE,-1,20130226,Ex Parte Zhang,NONE
10808015,2010009850,NONE,20050216944A1,20050929,NONE,-1,20130226,Ex Parte Johnson,NONE
