patentId,artUnit,examinerName,filingDate,issueDate
6105013,3662,"GREGORY, BERNARR E",1998-03-10,2000-08-15
6237095,2437,"SMITHERS, MATTHEW",1998-01-06,2001-05-22
7499872,3688,"MYHRE, JAMES W",2000-11-01,2009-03-03
7653572,3688,"MYHRE, JAMES W",2008-12-31,2010-01-26
7899704,3688,"MYHRE, JAMES W",2009-12-30,2011-03-01
8266000,3695,"HAMMOND  III, THOMAS M",2010-09-12,2012-09-11
6698759,3711,"LAYNO, BENJAMIN",2001-11-01,2004-03-02
6237916,3711,"LAYNO, BENJAMIN",1998-10-13,2001-05-29
8239451,2442,"HARRELL, ROBERT B",2012-04-01,2012-08-07
8165939,3693,"SEE, CAROL A",2007-04-23,2012-04-24
8479246,2421,"CHOWDHURY, SUMAIYA A",2012-06-13,2013-07-02
8468099,2156,"RAAB, CHRISTOPHER J",2009-10-10,2013-06-18
7035914,2154,"DONAGHUE, LARRY D",1999-07-09,2006-04-25
6032137,3685,"HAYES, JOHN W",1998-05-19,2000-02-29
5910988,2131,"CHACE, CHRISTIAN",1997-08-27,1999-06-08
7653572,3688,"MYHRE, JAMES W",2008-12-31,2010-01-26
7899704,3688,"MYHRE, JAMES W",2009-12-30,2011-03-01
6857022,2155,"WANG, LIANG CHE A",2000-09-29,2005-02-15
7117165,3625,"ZURITA, JAMES H",1999-10-28,2006-10-03
8036916,3626,"NGUYEN, TRAN N",2010-05-04,2011-10-11
8489420,3626,"NGUYEN, TRAN N",2011-07-07,2013-07-16
8161104,2455,"TRAN, PHILIP B",2010-07-16,2012-04-17
6857022,2155,"WANG, LIANG CHE A",2000-09-29,2005-02-15
6857022,2155,"WANG, LIANG CHE A",2000-09-29,2005-02-15
7424438,3623,"JEANTY, ROMAIN",2002-03-19,2008-09-09
8374901,3683,"JEANTY, ROMAIN",2010-07-29,2013-02-12
8374901,3683,"JEANTY, ROMAIN",2010-07-29,2013-02-12
6963826,2128,"PHAN, THAI Q",2003-09-22,2005-11-08
7756794,3629,"PLUCINSKI, JAMISUE A",2001-10-10,2010-07-13
7761387,3629,"PLUCINSKI, JAMISUE A",2002-03-11,2010-07-20
7752142,3629,"PLUCINSKI, JAMISUE A",2004-11-22,2010-07-06
7827119,3629,"PLUCINSKI, JAMISUE A",2004-11-22,2010-11-02
8311945,3694,"SHAIKH, MOHAMMAD Z",2007-01-30,2012-11-13
7424438,3623,"JEANTY, ROMAIN",2002-03-19,2008-09-09
7698196,3695,"HAVAN, THU THAO",2004-05-11,2010-04-13
5664110,2411,"POINVIL, FRANTZY",1994-12-08,1997-09-02
6557054,2182,"PEYTON, TAMMARA R",2000-04-20,2003-04-29
6658464,2184,"PEYTON, TAMMARA R",2000-04-20,2003-12-02
5910988,2131,"CHACE, CHRISTIAN",1997-08-27,1999-06-08
6032137,3685,"HAYES, JOHN W",1998-05-19,2000-02-29
8346894,2448,"VU, VIET D",2009-11-30,2013-01-01
5805702,3642,"WHITE, CARMEN D",1996-01-31,1998-09-08
8051011,3621,"JOHNS, CHRISTOPHER C",2009-08-11,2011-11-01
7590602,3621,"JOHNS, CHRISTOPHER C",2000-08-23,2009-09-15
8195578,3621,"MANDEL, MONICA A",2009-08-11,2012-06-05
7441196,2174,"KE, PENG",2006-03-13,2008-10-21
8313023,2887,"LABAZE, EDWYN",2012-06-25,2012-11-20
8511550,2887,"LABAZE, EDWYN",2013-04-16,2013-08-20
8346894,2448,"VU, VIET D",2009-11-30,2013-01-01
7631191,2434,"POWERS, WILLIAM S",2006-06-09,2009-12-08
8346894,2448,"VU, VIET D",2009-11-30,2013-01-01
8118221,2887,"LE, THIEN MINH",2010-11-10,2012-02-21
8118221,2887,"LE, THIEN MINH",2010-11-10,2012-02-21
7334720,2876,"PAIK, STEVEN SANGYUL",2006-01-19,2008-02-26
7334720,2876,"PAIK, STEVEN SANGYUL",2006-01-19,2008-02-26
8033458,2887,"LE, THIEN MINH",2010-11-10,2011-10-11
8033458,2887,"LE, THIEN MINH",2010-11-10,2011-10-11
8061598,2887,"LE, THIEN MINH",2011-01-24,2011-11-22
8061598,2887,"LE, THIEN MINH",2011-01-24,2011-11-22
8336772,2887,"LE, THIEN MINH",2011-08-17,2012-12-25
8336772,2887,"LE, THIEN MINH",2011-08-17,2012-12-25
7942317,2887,"LE, THIEN MINH",2008-01-15,2011-05-17
7942317,2887,"LE, THIEN MINH",2008-01-15,2011-05-17
7024387,3625,"THOMPSON JR, FOREST",2000-10-26,2006-04-04
7970674,3694,"BASIT, ABDUL",2006-02-03,2011-06-28
6826548,3629,"COSIMANO, EDWARD R",2002-01-24,2004-11-30
7908304,3687,"RUDY, ANDREW J",2001-03-15,2011-03-15
7958024,3691,"HAMILTON, LALITA M",2001-03-15,2011-06-07
8370211,3625,"POND, ROBERT M",2006-08-21,2013-02-05
5893071,3693,"MERCHANT, SHAHID R",1996-10-24,1999-04-06
8402281,2494,"ABRISHAMKAR, KAVEH",2010-10-29,2013-03-19
8515791,3624,"FLEISCHER, MARK A",2008-11-03,2013-08-20
8402115,2455,"ENG, DAVID Y",2009-01-26,2013-03-19
8402115,2455,"ENG, DAVID Y",2009-01-26,2013-03-19
8352357,3693,"MAGUIRE, LINDSAY M",2012-07-31,2013-01-08
8521642,3693,"MAGUIRE, LINDSAY M",2013-01-07,2013-08-27
7930237,3693,"MAGUIRE, LINDSAY M",2007-05-30,2011-04-19
8635150,3693,"MAGUIRE, LINDSAY M",2013-08-26,2014-01-21
5793302,2683,"ZIMMERMAN, BRIAN A",1996-11-12,1998-08-11
7533056,3694,"GREENE, DANIEL LAWSON",2006-05-03,2009-05-12
8095461,3695,"MADAMBA, CLIFFORD B",2011-03-30,2012-01-10
7676411,3693,"WEISBERGER, RICHARD C",2006-10-25,2010-03-09
