patentId,Art Unit,Examiner Name

"8036916,3626,""NGUYEN, TRAN N"""

"8489420,3626,""NGUYEN, TRAN N"""

"8161104,2455,""TRAN, PHILIP B"""

"6857022,2155,""WANG, LIANG CHE A"""

"6857022,2155,""WANG, LIANG CHE A"""

"7424438,3623,""JEANTY, ROMAIN"""

"8374901,3683,""JEANTY, ROMAIN"""

"8374901,3683,""JEANTY, ROMAIN"""

"6963826,2128,""PHAN, THAI Q"""

"7756794,3629,""PLUCINSKI, JAMISUE A"""

"7761387,3629,""PLUCINSKI, JAMISUE A"""

"7752142,3629,""PLUCINSKI, JAMISUE A"""

"7827119,3629,""PLUCINSKI, JAMISUE A"""

"8311945,3694,""SHAIKH, MOHAMMAD Z"""

"7424438,3623,""JEANTY, ROMAIN"""

"7698196,3695,""HAVAN, THU THAO"""

"5664110,2411,""POINVIL, FRANTZY"""

"6557054,2182,""PEYTON, TAMMARA R"""

"6658464,2184,""PEYTON, TAMMARA R"""

"5910988,2131,""CHACE, CHRISTIAN"""

"6032137,3685,""HAYES, JOHN W"""

"8346894,2448,""VU, VIET D"""

"5805702,3642,""WHITE, CARMEN D"""

"8051011,3621,""JOHNS, CHRISTOPHER C"""

"7590602,3621,""JOHNS, CHRISTOPHER C"""

"8195578,3621,""MANDEL, MONICA A"""

"7441196,2174,""KE, PENG"""

"8313023,2887,""LABAZE, EDWYN"""

"8511550,2887,""LABAZE, EDWYN"""

"8346894,2448,""VU, VIET D"""

"7631191,2434,""POWERS, WILLIAM S"""

"8346894,2448,""VU, VIET D"""

"8118221,2887,""LE, THIEN MINH"""

"8118221,2887,""LE, THIEN MINH"""

"7334720,2876,""PAIK, STEVEN SANGYUL"""

"7334720,2876,""PAIK, STEVEN SANGYUL"""

"8033458,2887,""LE, THIEN MINH"""

"8033458,2887,""LE, THIEN MINH"""

"8061598,2887,""LE, THIEN MINH"""

"8061598,2887,""LE, THIEN MINH"""

"8336772,2887,""LE, THIEN MINH"""

"8336772,2887,""LE, THIEN MINH"""

"7942317,2887,""LE, THIEN MINH"""

"7942317,2887,""LE, THIEN MINH"""

"7024387,3625,""THOMPSON JR, FOREST"""

"7970674,3694,""BASIT, ABDUL"""

"6826548,3629,""COSIMANO, EDWARD R"""

"7908304,3687,""RUDY, ANDREW J"""

"7958024,3691,""HAMILTON, LALITA M"""

"8370211,3625,""POND, ROBERT M"""

"5893071,3693,""MERCHANT, SHAHID R"""

"8402281,2494,""ABRISHAMKAR, KAVEH"""

"8515791,3624,""FLEISCHER, MARK A"""

"8402115,2455,""ENG, DAVID Y"""

"8402115,2455,""ENG, DAVID Y"""

"8352357,3693,""MAGUIRE, LINDSAY M"""

"8521642,3693,""MAGUIRE, LINDSAY M"""

"7930237,3693,""MAGUIRE, LINDSAY M"""

"8635150,3693,""MAGUIRE, LINDSAY M"""

"5793302,2683,""ZIMMERMAN, BRIAN A"""

"7533056,3694,""GREENE, DANIEL LAWSON"""

"8095461,3695,""MADAMBA, CLIFFORD B"""

"7676411,3693,""WEISBERGER, RICHARD C"""

"6772132,3624,""WEISBERGER, RICHARD C"""

"6766304,3624,""WEISBERGER, RICHARD C"""

"7685055,3693,""WEISBERGER, RICHARD C"""

"7389241,3629,""OUELLETTE, JONATHAN P"""

